gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	significant
ENSG00000167900	ENSG00000167900	TK1	7083	thymidine kinase 1	463.6970327066684	3.1122522944589215	0.20416529995754457	1.1381711291240359e-53	1.7653034212713795e-49	upregulated
ENSG00000171848	ENSG00000171848	RRM2	6241	ribonucleotide reductase regulatory subunit M2	848.028228811473	3.713343043955423	0.2524265880163579	2.775710382681556e-50	2.1525634017695462e-46	upregulated
ENSG00000166851	ENSG00000166851	PLK1	5347	polo like kinase 1	185.8299427570159	3.772785220470218	0.2570003281210797	5.052564903968254e-50	2.612176055351587e-46	upregulated
ENSG00000175063	ENSG00000175063	UBE2C	11065	ubiquitin conjugating enzyme E2 C	141.78225285882635	3.45925068751281	0.24847060842844465	2.6376445875303844e-45	1.0227466888149061e-41	upregulated
ENSG00000145386	ENSG00000145386	CCNA2	890	cyclin A2	180.14011019396384	3.64084735444603	0.26515361599293774	3.9092527556663555e-44	1.2126502048077035e-40	upregulated
ENSG00000111206	ENSG00000111206	FOXM1	2305	forkhead box M1	90.22473201070602	2.9818712416966795	0.2179145703009026	7.731838162461245e-44	1.998680164996232e-40	upregulated
ENSG00000165949	ENSG00000165949	IFI27	3429	interferon alpha inducible protein 27	3924.850507470494	8.550506750838599	0.6258994074174159	1.0359158045427832e-43	2.1914415657063247e-40	upregulated
ENSG00000088325	ENSG00000088325	TPX2	22974	TPX2 microtubule nucleation factor	225.8004877919205	3.062140267801749	0.2243027405461739	1.1303373646454284e-43	2.1914415657063247e-40	upregulated
ENSG00000178999	ENSG00000178999	AURKB	9212	aurora kinase B	118.82759812767368	3.108790120979148	0.23103194100941163	1.573862086411696e-42	2.7122889955828235e-39	upregulated
ENSG00000117399	ENSG00000117399	CDC20	991	cell division cycle 20	227.9995481254343	3.547421347657454	0.26615697039169955	8.827389492864529e-42	1.3691281103432886e-38	upregulated
ENSG00000123485	ENSG00000123485	HJURP	55355	Holliday junction recognition protein	86.74024627482258	3.1283766101184445	0.2384474843433147	1.5322519175232474e-40	2.160475203707779e-37	upregulated
ENSG00000127564	ENSG00000127564	PKMYT1	9088	protein kinase, membrane associated tyrosine/threonine 1	115.09823259471308	3.108810154200935	0.240653877125016	2.0461089571822996e-39	2.6445958271581223e-36	upregulated
ENSG00000148773	ENSG00000148773	MKI67	4288	marker of proliferation Ki-67	560.3976403171973	3.0556456425091083	0.23745225854194468	4.2347125756072906e-39	5.052337849820699e-36	upregulated
ENSG00000211950	ENSG00000211950	IGHV1-24	28467	immunoglobulin heavy variable 1-24	1310.84767153997	5.68770297323546	0.4430890650035972	5.37887510277012e-39	5.959025203140327e-36	upregulated
ENSG00000089685	ENSG00000089685	BIRC5	332	baculoviral IAP repeat containing 5	234.69319771783228	3.72383779373672	0.29077405728903677	8.370058089325017e-39	8.654640064362069e-36	upregulated
ENSG00000090889	ENSG00000090889	KIF4A	24137	kinesin family member 4A	52.93257083547675	3.4043558516809695	0.26573416360287155	9.78521876016131e-39	9.485546435631372e-36	upregulated
ENSG00000171241	ENSG00000171241	SHCBP1	79801	SHC binding and spindle associated 1	195.11625906669417	3.1003162278913727	0.2426644283884184	1.2843943089031795e-38	1.171820925358136e-35	upregulated
ENSG00000143476	ENSG00000143476	DTL	51514	denticleless E3 ubiquitin protein ligase homolog	139.69430100015057	3.0529536933052928	0.24195651582840869	9.48637604796597e-38	7.743878552839589e-35	upregulated
ENSG00000170476	ENSG00000170476	MZB1	51237	marginal zone B and B1 cell specific protein	1864.6532808712916	3.546154084076947	0.2811106964636867	9.247354831654704e-38	7.743878552839589e-35	upregulated
ENSG00000066279	ENSG00000066279	ASPM	259266	assembly factor for spindle microtubules	83.98052212222613	2.865410893390832	0.22730792519004897	1.2718480690664742e-37	9.863181775610507e-35	upregulated
ENSG00000224373	ENSG00000224373	IGHV4-59	28392	immunoglobulin heavy variable 4-59	1059.6279643592256	3.685441520881347	0.2929743514210847	1.4962853490130794e-37	1.1051136077710886e-34	upregulated
ENSG00000169679	ENSG00000169679	BUB1	699	BUB1 mitotic checkpoint serine/threonine kinase	232.17400322357452	3.0137780703388537	0.24304565489032495	1.449626372623115e-36	1.021986592699296e-33	upregulated
ENSG00000276043	ENSG00000276043	UHRF1	29128	ubiquitin like with PHD and ring finger domains 1	227.5298664660977	2.7008141607451144	0.2188959418385504	3.2142791890386326e-36	2.1675421835647475e-33	upregulated
ENSG00000184357	ENSG00000184357	H1-5	3009	H1.5 linker histone, cluster member	67.26375827791337	3.1573263085380323	0.25973057672415056	3.2535160852794727e-35	2.102584770111859e-32	upregulated
ENSG00000157456	ENSG00000157456	CCNB2	9133	cyclin B2	147.51217682814686	3.3099844748453098	0.27776769199775403	5.488849272592075e-34	3.405282088716123e-31	upregulated
ENSG00000167513	ENSG00000167513	CDT1	81620	chromatin licensing and DNA replication factor 1	96.4358787242481	2.6794793793643934	0.22509431665849933	6.555051115302119e-34	3.9103401076283032e-31	upregulated
ENSG00000211896	ENSG00000211896	IGHG1	3500	immunoglobulin heavy constant gamma 1 (G1m marker)	47300.98908219396	5.138355737315439	0.4342564884897314	1.4098398658994551e-33	8.098746785222426e-31	upregulated
